Open,Close,High,Low,Volume,RSI14,SMA14,EMA14,MACD_sl,MACD_h
133.42,134.1,134.24,133.2,2426305.0,49.39,134.59,134.45,-0.1,0.03
133.69,134.19,134.96,133.4,3275968.0,50.33,134.6,134.41,-0.1,0.01
134.51,135.31,135.86,133.92,4346140.0,55.44,134.68,134.53,-0.08,0.07
135.74,136.74,136.79,135.31,3732830.0,60.36,134.84,134.83,-0.03,0.2
137.0,136.69,137.87,136.31,3255641.0,59.55,135.0,135.07,0.03,0.26
135.48,136.6,136.64,135.07,3531572.0,54.95,135.07,135.28,0.11,0.29
136.28,135.82,137.14,135.55,3683458.0,51.23,135.09,135.35,0.16,0.23
136.0,136.62,138.06,135.71,4045952.0,57.33,135.2,135.52,0.22,0.24
137.32,137.98,138.19,137.01,4320911.0,62.31,135.42,135.85,0.3,0.31
136.54,138.31,138.33,136.16,5623336.0,62.22,135.64,136.18,0.39,0.36
137.81,139.17,139.35,137.6,7244079.0,79.34,136.09,136.58,0.5,0.42
143.32,143.89,145.79,142.55,16470431.0,84.37,136.8,137.55,0.68,0.74
144.2,142.87,144.41,142.15,5657790.0,76.66,137.33,138.26,0.89,0.83
143.39,140.56,143.92,140.46,5580189.0,70.46,137.78,138.57,1.06,0.68
138.5,138.62,140.07,138.1,4166562.0,63.37,138.1,138.57,1.16,0.42
139.5,139.55,140.47,138.75,3451557.0,65.11,138.48,138.7,1.24,0.29
139.17,137.69,139.58,137.59,3054714.0,56.44,138.65,138.57,1.25,0.05
136.76,136.77,136.97,134.97,5057906.0,50.08,138.65,138.33,1.21,-0.16
142.9,143.73,144.05,140.79,18994560.0,64.15,139.16,139.05,1.24,0.14
144.25,146.27,147.28,143.9,8887502.0,67.69,139.85,140.01,1.36,0.48
147.78,149.11,149.38,146.88,5620966.0,72.61,140.8,141.22,1.57,0.83
150.21,156.33,157.44,150.15,14386823.0,77.52,142.2,143.24,1.94,1.46
156.82,156.76,158.75,155.42,8400545.0,76.92,143.54,145.04,2.38,1.78
154.55,153.41,155.54,152.92,6423429.0,69.92,144.62,146.16,2.79,1.66
152.97,154.43,154.44,151.58,5239807.0,70.05,145.71,147.26,3.18,1.53
155.12,153.48,155.22,152.73,3835112.0,63.98,146.4,148.09,3.5,1.28
153.75,155.31,155.6,153.52,4438007.0,67.72,147.29,149.05,3.78,1.14
154.37,154.31,154.83,153.41,3820697.0,70.35,148.27,149.75,4.01,0.9
154.42,150.7,154.56,149.77,6099244.0,67.03,149.13,149.88,4.12,0.43
149.79,151.1,151.38,149.64,3343514.0,66.53,149.96,150.04,4.14,0.1
151.54,150.86,151.89,150.31,2733277.0,69.77,150.9,150.15,4.1,-0.16
150.81,151.22,151.62,149.51,2880709.0,72.06,151.93,150.29,4.02,-0.33
151.04,149.84,151.04,148.84,3537258.0,61.24,152.37,150.23,3.88,-0.55
145.51,146.43,148.05,145.38,5452408.0,50.29,152.38,149.73,3.66,-0.91
146.51,141.71,147.07,141.26,6211547.0,37.63,151.85,148.66,3.3,-1.42
142.9,139.75,144.06,139.6,5409537.0,16.38,150.66,147.47,2.85,-1.82
137.24,133.11,138.69,133.01,8421125.0,11.69,148.98,145.56,2.24,-2.43
129.98,130.15,131.09,126.36,13012228.0,11.84,147.31,143.5,1.52,-2.89
130.75,134.3,134.44,127.95,8531415.0,20.05,145.88,142.27,0.82,-2.77
134.48,128.9,136.09,127.8,7896068.0,17.71,144.12,140.49,0.1,-2.91
131.58,134.22,134.28,129.0,4996370.0,24.62,142.61,139.65,-0.53,-2.5
130.5,129.55,132.29,128.45,5446227.0,22.62,140.85,138.31,-1.13,-2.41
126.7,127.73,128.33,124.52,8193257.0,23.56,139.21,136.9,-1.72,-2.33
120.16,117.81,122.41,117.28,10757487.0,18.56,136.83,134.35,-2.41,-2.78
122.78,124.77,124.88,115.76,11410688.0,28.14,134.96,133.07,-3.02,-2.45
121.01,117.97,122.58,116.38,8451038.0,24.85,132.59,131.06,-3.65,-2.52
109.65,102.81,109.8,102.28,12512655.0,20.57,129.23,127.29,-4.49,-3.36
108.68,107.95,109.16,100.81,12502113.0,26.43,126.48,124.71,-5.33,-3.35
98.0,99.08,107.41,95.0,10567960.0,25.15,123.44,121.3,-6.25,-3.68
100.61,106.65,107.39,97.1,9258338.0,31.89,121.07,119.34,-7.04,-3.16
99.41,103.55,106.93,99.4,8772460.0,33.17,118.96,117.24,-7.74,-2.8
102.33,100.34,103.69,98.23,8396521.0,33.08,116.83,114.98,-8.38,-2.56
100.92,95.39,100.99,94.71,10546455.0,28.11,114.05,112.37,-9.0,-2.51
94.6,94.77,97.74,90.56,9729393.0,29.71,111.61,110.03,-9.58,-2.31
99.99,105.48,106.04,99.26,7973944.0,33.94,109.56,109.42,-9.91,-1.29
105.48,105.85,112.48,102.83,8654047.0,36.09,107.87,108.94,-10.02,-0.47
106.91,112.89,113.15,105.57,7158052.0,41.79,106.81,109.47,-9.87,0.61
108.58,108.03,111.5,107.64,6423038.0,44.27,106.11,109.28,-9.61,1.03
108.09,112.93,113.46,107.81,5564541.0,42.89,105.26,109.76,-9.2,1.64
112.0,110.93,113.81,110.17,6346676.0,45.52,104.76,109.92,-8.73,1.9
106.36,105.14,109.92,104.52,6112947.0,51.69,104.93,109.28,-8.31,1.67
105.37,110.0,110.32,105.14,6328674.0,51.49,105.07,109.38,-7.86,1.82
108.92,106.34,110.07,104.92,4538750.0,55.7,105.59,108.97,-7.44,1.66
