Date,Open,Close,High,Low,Volume,RSI14,SMA14,EMA14,MACD_sl,MACD_h,Log_Returns,Log_Trading_Range,Log_Volume_Change,Previous_10_Day_Volatility,Previous_30_Day_Volatility,Next_10_Days_Volatility
1991-01-04,321.91,321.0,322.35,318.87,140820000,33.79,328.02,326.63,2.58,-1.46,-0.0028308802405296873,0.010854415543028573,-0.004463818656589069,0.006689801921051103,0.007259778333711152,0.014884133822497203
1991-01-07,321.0,315.44,321.0,315.44,130610000,30.22,327.21,325.14,2.1,-1.94,-0.017472633560643658,0.017472633560643658,-0.07526669550155773,0.008034301230831174,0.007963415272394575,0.015161764204755762
1991-01-08,315.44,314.9,316.97,313.79,143390000,30.49,326.41,323.78,1.55,-2.2,-0.0017133614623929816,0.010083159815251541,0.09335240713751958,0.007414859447206152,0.007951180103759224,0.013583966053046593
1991-01-09,314.9,311.49,320.73,310.93,191100000,16.71,325.09,322.14,0.93,-2.48,-0.01088789312350702,0.031031841234527846,0.2872286605192791,0.007630939042567076,0.00814422134000414,0.014091109035717319
1991-01-10,311.49,314.53,314.77,311.49,124510000,24.54,323.97,321.12,0.35,-2.33,0.009712226114887201,0.01047497841628875,-0.42841081728190744,0.00871768090716463,0.008298345404551162,0.013060095775325017
1991-01-11,314.53,315.23,315.24,313.59,123050000,26.28,322.91,320.34,-0.17,-2.08,0.00222307002123312,0.005247853272724257,-0.011795257127253933,0.008942300227595276,0.008311849989352594,0.01325389344389005
1991-01-14,315.23,312.49,315.23,309.35,120830000,20.37,321.53,319.29,-0.67,-1.99,-0.008730062455146737,0.018829209142595005,-0.018206177797850387,0.008835525031276686,0.008415335985589738,0.013209112592675876
1991-01-15,312.49,313.73,313.73,311.84,110000000,24.65,320.38,318.55,-1.11,-1.74,0.003960274729827518,0.006042507635022787,-0.09390423324679986,0.008765585038977381,0.007703354201613836,0.01236689441497311
1991-01-16,313.73,316.17,316.94,312.94,134560000,28.01,319.33,318.23,-1.44,-1.33,0.007747300219682174,0.01270100264075058,0.2015298304322215,0.009307890736879994,0.007769071973849649,0.012582127005669831
1991-01-17,316.17,327.97,327.97,316.17,319080000,49.62,319.3,319.53,-1.49,-0.23,0.036642097172521204,0.036642097172521204,0.8634316588182926,0.014884133822497089,0.010280235412774242,0.012847307844866785
1991-01-18,327.97,332.23,332.23,327.08,226770000,53.78,319.55,321.22,-1.31,0.75,0.012905359359232094,0.015622710851932453,-0.3415055670707332,0.015161764204755653,0.010359382393086832,0.007905229996714487
1991-01-21,332.23,331.06,332.23,328.87,136290000,50.91,319.61,322.54,-0.99,1.27,-0.0035278723136888956,0.01016496424555946,-0.5091513195327728,0.013583966053046473,0.010369699517977544,0.007641366267584676
1991-01-22,331.06,328.31,331.26,327.83,177060000,52.06,319.75,323.31,-0.65,1.36,-0.008341343843195403,0.010408384182871266,0.2617036897434808,0.014091109035717203,0.01045998381370325,0.008104080226481743
1991-01-23,328.31,330.21,331.04,327.93,168620000,59.77,320.34,324.23,-0.28,1.47,0.005770531714585303,0.009439043023379057,-0.04884099568837286,0.013060095775324892,0.010494221101618902,0.006612387087377154
1991-01-24,330.21,334.78,335.83,330.19,223150000,64.94,321.32,325.63,0.15,1.76,0.013744783971064045,0.01693683319367345,0.28019652858074906,0.01325389344388993,0.010677180153961338,0.007669401377980397
1991-01-25,334.78,336.07,336.92,334.2,194350000,74.65,322.8,327.02,0.64,1.92,0.003845871923688904,0.008105897285870078,-0.13818353377704895,0.013209112592675753,0.010506514359206872,0.008296727827527694
1991-01-28,336.07,336.03,337.41,335.81,141270000,75.55,324.31,328.23,1.12,1.92,-0.00011902990640511035,0.004753284253271595,-0.31898770437465984,0.012366894414972978,0.010490544269841893,0.008263023999546851
1991-01-29,336.03,335.84,336.03,334.26,155740000,81.93,326.05,329.24,1.56,1.8,-0.0005655856194346498,0.005281308430978626,0.09751499722526802,0.012582127005669703,0.010375015873287551,0.009726379039867901
